Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team_id,game_id
Caitlin Clark,32:27:00,5,15,0.333,4,11,0.364,6,6,1,0,0,3,2,0,10,4,20,-13,IND,202405140CON
Aliyah Boston,29:18:00,2,6,0.333,0,0,,0,0,,2,6,2,1,2,4,3,4,-12,IND,202405140CON
NaLyssa Smith,26:53:00,5,12,0.417,1,3,0.333,2,2,1,2,9,1,0,2,2,3,13,-12,IND,202405140CON
Katie Lou Samuelson,26:28:00,1,2,0.5,1,2,0.5,2,2,1,0,2,3,0,0,0,2,5,-13,IND,202405140CON
Erica Wheeler,19:02,3,3,1,1,1,1,1,1,1,0,1,2,1,0,2,1,8,-9,IND,202405140CON
Alyssa Thomas,35:54:00,4,8,0.5,0,0,,5,8,0.625,1,10,13,3,0,7,2,13,14,CON,202405140CON
DiJonai Carrington,30:35:00,6,15,0.4,1,3,0.333,3,3,1,2,5,1,2,0,3,2,16,15,CON,202405140CON
DeWanna Bonner,28:39:00,8,14,0.571,0,3,0,4,5,0.8,0,6,1,1,0,2,4,20,19,CON,202405140CON
Tyasha Harris,28:16:00,6,11,0.545,4,6,0.667,0,0,,0,0,2,1,0,0,3,16,19,CON,202405140CON
Brionna Jones,19:28,2,4,0.5,0,0,,4,6,0.667,1,3,1,3,1,1,1,8,12,CON,202405140CON
Natasha Cloud,33:36:00,5,15,0.333,1,6,0.167,3,3,1,1,8,7,1,0,4,1,14,-11,PHO,202405140LVA
Rebecca Allen,33:24:00,5,13,0.385,3,6,0.5,1,2,0.5,1,7,2,2,1,2,3,14,3,PHO,202405140LVA
Kahleah Copper,29:56:00,7,19,0.368,3,7,0.429,2,2,1,1,4,4,0,0,2,5,19,-5,PHO,202405140LVA
Diana Taurasi,28:22:00,8,14,0.571,7,11,0.636,0,1,0,0,3,0,0,0,2,5,23,3,PHO,202405140LVA
Natasha Mack,19:34,1,4,0.25,0,0,,0,0,,4,6,5,1,3,0,3,2,-3,PHO,202405140LVA
Kelsey Plum,37:52:00,8,20,0.4,3,10,0.3,0,2,0,0,3,5,1,0,2,2,19,9,LVA,202405140LVA
Jackie Young,36:05:00,6,16,0.375,2,8,0.25,9,10,0.9,0,7,6,3,2,1,1,23,12,LVA,202405140LVA
A'ja Wilson,34:40:00,10,22,0.455,0,2,0,10,11,0.909,3,13,5,1,3,1,2,30,9,LVA,202405140LVA
Alysha Clark,34:15:00,3,7,0.429,0,4,0,2,2,1,3,7,0,2,0,2,1,8,4,LVA,202405140LVA
Kiah Stokes,23:09,0,0,,0,0,,2,2,1,1,3,0,0,0,1,1,2,-8,LVA,202405140LVA
Alanna Smith,35:53:00,8,15,0.533,3,5,0.6,3,4,0.75,1,8,2,1,4,4,4,22,16,MIN,202405140SEA
Napheesa Collier,30:43:00,9,19,0.474,1,2,0.5,1,1,1,2,12,0,1,2,2,3,20,16,MIN,202405140SEA
Kayla McBride,30:32:00,3,8,0.375,1,5,0.2,2,2,1,2,5,5,3,0,2,2,9,12,MIN,202405140SEA
Courtney Williams,28:32:00,7,13,0.538,0,2,0,0,0,,0,5,7,5,0,3,2,14,11,MIN,202405140SEA
Diamond Miller,12:51,1,5,0.2,0,2,0,0,0,,0,3,0,0,0,0,1,2,-4,MIN,202405140SEA
Jewell Loyd,32:34:00,3,19,0.158,1,3,0.333,3,3,1,3,10,1,2,0,3,1,10,-13,SEA,202405140SEA
Ezi Magbegor,31:19:00,5,10,0.5,0,2,0,5,6,0.833,2,9,2,0,3,3,2,15,-16,SEA,202405140SEA
Skylar Diggins-Smith,30:53:00,4,13,0.308,0,1,0,2,2,1,0,1,6,2,1,4,3,10,-12,SEA,202405140SEA
Nneka Ogwumike,30:13:00,10,18,0.556,0,1,0,0,0,,5,9,0,2,0,1,3,20,-12,SEA,202405140SEA
Victoria Vivians,21:43,0,3,0,0,1,0,0,0,,1,4,1,0,0,0,1,0,-1,SEA,202405140SEA
Sabrina Ionescu,33:34:00,4,12,0.333,1,7,0.143,6,6,1,1,7,8,1,2,3,3,15,-2,NYL,202405140WAS
Betnijah Laney,33:01:00,9,13,0.692,2,6,0.333,0,0,,1,4,2,2,0,3,2,20,16,NYL,202405140WAS
Jonquel Jones,32:48:00,10,17,0.588,4,8,0.5,1,1,1,3,8,2,0,1,3,2,25,6,NYL,202405140WAS
Breanna Stewart,31:32:00,3,9,0.333,0,1,0,2,2,1,1,8,2,1,0,3,4,8,-5,NYL,202405140WAS
Courtney Vandersloot,27:38:00,3,9,0.333,0,2,0,0,0,,0,2,5,1,0,2,3,6,4,NYL,202405140WAS
